id,title,title_en,title_jp,source,members,score,format,episodes,season,year,starting_at,airing_day,studio,official_site,twitter_username
55547,Kono Koi ni Kizuite The Animation,,この恋に気づいて THE ANIMATION,Manga,4957,7.85,OVA,,,,2023-08-25T00:00:00+00:00,,Seven,https://www.pinkpineapple.co.jp/detail.php?cid=4&did=2412,
49987,Papa Katsu!,,パパ喝ッ!,Original,4907,6.42,OVA,,,,2021-12-24T00:00:00+00:00,,Nur,,
54040,Tousouchuu: Great Mission,Run For Money : The Great Mission,逃走中 グレートミッション,Other,4851,5.66,TV,,spring,2023.0,2023-04-02T00:00:00+00:00,Sundays,Toei Animation,https://www.toei-anim.co.jp/tv/tosochu_gm/,tosochu_gm
57390,Wonderful Precure!,Wonderful Precure!,わんだふるぷりきゅあ!,Original,4741,7.39,TV,,winter,2024.0,2024-02-04T00:00:00+00:00,Sundays,Toei Animation,https://www.toei-anim.co.jp/tv/wonderful_precure/,TVanime_precure
57390,Wonderful Precure!,Wonderful Precure!,わんだふるぷりきゅあ!,Original,4741,7.39,TV,,winter,2024.0,2024-02-04T00:00:00+00:00,Sundays,Toei Animation,https://www.toei-anim.co.jp/tv/wonderful_precure/,TVanime_precure
53204,Isekai Kita no de Sukebe Skill de Zenryoku Ouka Shiyou to Omou The Animation,,異世界来たのでスケベスキルで全力謳歌しようと思う THE ANIMATION,Manga,4581,7.18,OVA,,,,2022-12-27T00:00:00+00:00,,Shion,https://www.pinkpineapple.co.jp/detail.php?did=2374,
53725,Class de Otoko wa Boku Ichinin!?,,クラスで男は僕一人!?,Manga,4531,7.24,OVA,,,,2023-03-03T00:00:00+00:00,,T-Rex,,
56785,Meitantei Conan Movie 27: 100-man Dollar no Michishirube,Detective Conan Movie 27,名探偵コナン 100万ドルの五稜星,Manga,4521,,Movie,1.0,,,2024-04-12T00:00:00+00:00,,TMS Entertainment,https://www.conan-movie.jp/,conan_movie
52104,Boku wa Chiisana Succubus no Shimobe,,僕は小さな淫魔〈サキュバス〉のしもべ,Manga,4484,7.14,OVA,,,,2022-08-05T00:00:00+00:00,,New Generation,,
50487,Kimi wa Yasashiku Netorareru The Animation,,キミはやさしく寝取られる THE ANIMATION,Manga,4450,6.07,OVA,,,,2022-02-25T00:00:00+00:00,,Seven,https://www.pinkpineapple.co.jp/detail.php?did=2316,
54629,Maid Kyouiku: Botsuraku Kizoku Rurikawa Tsubaki The Animation,,メイド教育。－没落貴族 瑠璃川椿－ THE ANIMATION,Manga,4428,6.97,OVA,,,,2023-05-26T00:00:00+00:00,,Studio 1st,https://www.pinkpineapple.co.jp/detail.php?cid=4&did=2390,
58449,Suki demo Kirai na Amanojaku,My Oni Girl,好きでも嫌いなあまのじゃく,Original,4302,,Movie,1.0,,,2024-05-24T00:00:00+00:00,,Studio Colorido,https://www.amanojaku-movie.com/,
53492,Otogibanashi no Onigokko,,おとぎばなしの鬼ごっこ,Game,4186,6.03,OVA,,,,2023-01-27T00:00:00+00:00,,Majin,,
57623,Nijiyon Animation 2,,にじよん あにめーしょん2,4-koma manga,4160,6.85,TV,12.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,Sunrise,https://www.lovelive-anime.jp/nijigasaki/niji4anime.php,LoveLive_staff
57623,Nijiyon Animation 2,,にじよん あにめーしょん2,4-koma manga,4160,6.85,TV,12.0,spring,2024.0,2024-04-05T00:00:00+00:00,Fridays,Sunrise,https://www.lovelive-anime.jp/nijigasaki/niji4anime.php,LoveLive_staff
57993,Oomuro-ke: Dear Friends,,大室家 dear friends,Manga,4083,,Movie,1.0,,,2024-06-21T00:00:00+00:00,,Passione/ Studio Lings,https://ohmuroke.com,omrk_movie
